COMB Title,NumberOfConsoles,GCN,XBX,PS2,Brand,License,Publisher,Developer,NPD Super Genre,NPD Sub Genre,Launch,Launch Year,Launch Month,ESRB,Online,Vivendi,Peer group,Violent genre
HEAD HUNTER,1,0,0,1,HEADHUNTER,,ACCLAIM  ,AMUZE,ACTION,GENERAL ACTION,01-May-02,2002,5,M,NO,No,No,Violent
HEADHUNTER: REDEMPTION,2,0,1,1,HEADHUNTER,,SEGA OF AMERICA,AMUZE,ACTION,GENERAL ACTION,01-Sep-04,2004,9,M,NO,No,No,Violent
HERDY GERDY,1,0,0,1,,,EIDOS INTERACTIVE ,CORE DESIGN,ACTION,PLATFORM/SCROLLING CHARACTER,01-Mar-02,2002,3,E,NO,No,No,Violent
HEROES OF MIGHT & MAGIC 2,1,0,0,1,HEROES OF MIGHT & MAGIC,,THE 3DO COMPANY,,RPG,RPG,01-Apr-01,2001,4,E,NO,No,No,Non violent
HIDDEN INVASION,1,0,0,1,,,CONSPIRACY,TOKA,ACTION,GENERAL ACTION,01-Jul-02,2002,7,T,NO,No,No,Violent
HIGH HEAT BASEBALL 2002,1,0,0,1,HIGH HEAT BASEBALL,MAJOR LEAGUE BASEBALL (MLB),THE 3DO COMPANY,THE 3DO COMPANY,SPORTS,BASEBALL,01-Mar-01,2001,3,E,NO,No,No,Non violent
HIGH HEAT BASEBALL 2003,1,0,0,1,HIGH HEAT BASEBALL,MAJOR LEAGUE BASEBALL (MLB),THE 3DO COMPANY,THE 3DO COMPANY,SPORTS,BASEBALL,01-Feb-02,2002,2,E,NO,No,No,Non violent
HIGH HEAT BASEBALL 2004,2,0,1,1,HIGH HEAT BASEBALL,MAJOR LEAGUE BASEBALL (MLB),THE 3DO COMPANY,THE 3DO COMPANY,SPORTS,BASEBALL,01-Feb-03,2003,2,E,NO,No,No,Non violent
HIGH ROLLERS CASINO,2,0,1,1,,,BETHESDA SOFTWORKS,MUD DUCK PRODUCTIONS,FAMILY ,CASINO GAMES,01-Nov-04,2004,11,E,NO,No,No,Non violent
HITMAN 2: SILENT ASSASSIN,3,1,1,1,HITMAN,,EIDOS INTERACTIVE ,IO INTERACTIVE,ACTION,STEALTH ACTION,01-Sep-02,2002,6,M,NO,No,No,Violent
HITMAN: CONTRACTS,2,0,1,1,HITMAN,,EIDOS INTERACTIVE ,IO INTERACTIVE,ACTION,STEALTH ACTION,01-Apr-04,2004,4,M,NO,No,No,Violent
HOME RUN KING,1,1,0,0,,MAJOR LEAGUE BASEBALL (MLB),SEGA OF AMERICA,WOW ENTERTAINMENT,SPORTS,BASEBALL,01-Mar-02,2002,3,E,NO,No,No,Non violent
HOT SHOTS GOLF 3,1,0,0,1,HOT SHOTS GOLF,,SONY ,CLAP HANZ,SPORTS,GOLF,01-Mar-02,2002,3,E,NO,No,Yes,Non violent
HOT SHOTS GOLF FORE!,1,0,0,1,HOT SHOTS GOLF,,SONY ,CLAP HANZ,SPORTS,GOLF,01-Aug-04,2004,8,E,YES,No,Yes,Non violent
