COMB Title,NumberOfConsoles,GCN,XBX,PS2,Brand,License,Publisher,Developer,NPD Super Genre,NPD Sub Genre,Launch,Launch Year,Launch Month,ESRB,Online,Vivendi,Peer group,Violent genre
MVP BASEBALL 2003,2,0,1,1,MVP BASEBALL,MAJOR LEAGUE BASEBALL (MLB),ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,BASEBALL,01-Mar-03,2003,3,E,NO,No,Yes,Non violent
MVP BASEBALL 2004,3,1,1,1,MVP BASEBALL,MAJOR LEAGUE BASEBALL (MLB),ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,BASEBALL,01-Mar-04,2004,3,E,NO,No,Yes,Non violent
MX 2002 WITH CARMICHAEL,2,0,1,1,,PRO RACING ALL OTHER,THQ ,PACIFIC COAST POWER AND LIGHT,RACING,EXTREME SPORTS,01-Jun-01,2001,6,E,NO,No,Yes,Non violent
MX RIDER,1,0,0,1,,PRO RACING ALL OTHER,ATARI,PARADIGM ENTERTAINMENT,SPORTS,EXTREME SPORTS,01-Oct-01,2001,10,E,NO,No,No,Non violent
MX SUPERFLY,3,1,1,1,,PRO RACING ALL OTHER,THQ ,PACIFIC COAST POWER AND LIGHT,RACING,SPORTS ORIENTED RACING,01-Jun-02,2002,6,E,NO,No,Yes,Non violent
MX UNLEASHED,2,0,1,1,,PRO RACING ALL OTHER,THQ ,RAINBOW STUDIOS,RACING,SPORTS ORIENTED RACING,01-Feb-04,2004,2,E,NO,No,Yes,Non violent
MY STREET,1,0,0,1,,,SONY ,IDOL MINDS,FAMILY ,PARTY GAMES,01-Mar-03,2003,3,E,YES,No,Yes,Non violent
MYST 3 EXILE,2,0,1,1,MYST,,UBISOFT,UBISOFT ENTERTAINMENT,ADVENTURE,GENERAL ADVENTURE,01-Sep-02,2002,9,E,NO,No,Yes,Non violent
MYSTIC HEROES,2,1,0,1,,,KOEI,KOEI,ACTION,GENERAL ACTION,01-Sep-02,2002,9,T,NO,No,No,Violent
NAMCO MUSEUM,3,1,1,1,NAMCO MUSEUM,,NAMCO,MASS MEDIA,ARCADE,CLASSIC ARCADE,01-Dec-01,2001,10,E,NO,No,No,Non violent
NASCAR 2001,1,0,0,1,NASCAR,NASCAR,ELECTRONIC ARTS,ELECTRONIC ARTS,RACING,SPORTS ORIENTED RACING,01-Nov-00,2000,11,E,NO,No,Yes,Non violent
NASCAR 2005: CHASE FOR THE CUP,3,1,1,1,NASCAR,NASCAR,ELECTRONIC ARTS,ELECTRONIC ARTS,RACING,SPORTS ORIENTED RACING,01-Sep-04,2004,9,E,NO,No,Yes,Non violent
NASCAR HEAT 2002,2,0,1,1,NASCAR HEAT,NASCAR,ATARI,MONSTER GAMES,RACING,SPORTS ORIENTED RACING,01-Jun-01,2001,6,E,NO,No,No,Non violent
NASCAR THUNDER 2002,2,0,1,1,NASCAR THUNDER,NASCAR,ELECTRONIC ARTS,ELECTRONIC ARTS,RACING,SPORTS ORIENTED RACING,01-Oct-01,2001,10,E,NO,No,Yes,Non violent
NASCAR THUNDER 2003,3,1,1,1,NASCAR THUNDER,NASCAR,ELECTRONIC ARTS,ELECTRONIC ARTS,RACING,SPORTS ORIENTED RACING,01-Sep-02,2002,9,E,NO,No,Yes,Non violent
NASCAR THUNDER 2004,2,0,1,1,NASCAR THUNDER,NASCAR,ELECTRONIC ARTS,ELECTRONIC ARTS,RACING,SPORTS ORIENTED RACING,01-Sep-03,2003,9,E,NO,No,Yes,Non violent
NASCAR: DIRT 2 DAYTONA,2,1,0,1,,NASCAR,ATARI,MONSTER GAMES,RACING,SPORTS ORIENTED RACING,01-Nov-02,2002,11,E,NO,No,No,Non violent
NAVAL OPS: COMMANDER,1,0,0,1,NAVAL OPS,,KOEI,MICRO CABIN,SHOOTER,MECHANIZED SHOOTER,01-Mar-04,2004,3,T,NO,No,No,Violent
NAVAL OPS: WARSHIP,1,0,0,1,NAVAL OPS,,KOEI,MICRO CABIN,SHOOTER,MECHANIZED SHOOTER,01-Jun-03,2003,6,T,NO,No,No,Violent
NBA 2K2,3,1,1,1,NBA 2K,NATL BASKETBALL ASSOC,SEGA OF AMERICA,VISUAL CONCEPTS,SPORTS,BASKETBALL,01-Jan-02,2002,1,E,NO,No,No,Non violent
NBA 2K3,3,1,1,1,NBA 2K,NATL BASKETBALL ASSOC,SEGA OF AMERICA,VISUAL CONCEPTS,SPORTS,BASKETBALL,01-Oct-02,2002,10,E,NO,No,No,Non violent
NBA BALLERS,2,0,1,1,,NATL BASKETBALL ASSOC,MIDWAY,MIDWAY HOME ENTERTAINMENT,SPORTS,BASKETBALL,01-Apr-04,2004,4,E,NO,No,No,Non violent
NBA COURTSIDE 2002,1,1,0,0,NBA COURTSIDE,NATL BASKETBALL ASSOC,NINTENDO OF AMERICA,LEFT FIELD PRODUCTIONS,SPORTS,BASKETBALL,01-Jan-02,2002,1,E,NO,No,No,Non violent
NBA HOOPZ,1,0,0,1,,NATL BASKETBALL ASSOC,MIDWAY,EUROCOM DEVELOPMENTS,SPORTS,BASKETBALL,01-Feb-01,2001,2,E,NO,No,No,Non violent
NBA INSIDE DRIVE 2002,1,0,1,0,NBA INSIDE DRIVE,NATL BASKETBALL ASSOC,MICROSOFT ,HIGH VOLTAGE SOFTWARE,SPORTS,BASKETBALL,01-Jan-02,2002,1,E,NO,No,No,Non violent
NBA INSIDE DRIVE 2003,1,0,1,0,NBA INSIDE DRIVE,NATL BASKETBALL ASSOC,MICROSOFT ,HIGH VOLTAGE SOFTWARE,SPORTS,BASKETBALL,01-Oct-02,2002,10,E,NO,No,No,Non violent
NBA INSIDE DRIVE 2004,1,0,1,0,NBA INSIDE DRIVE,NATL BASKETBALL ASSOC,MICROSOFT ,HIGH VOLTAGE SOFTWARE,SPORTS,BASKETBALL,01-Nov-03,2003,11,E,YES,No,No,Non violent
NBA JAM,2,0,1,1,NBA JAM,NATL BASKETBALL ASSOC,ACCLAIM  ,ACCLAIM STUDIOS,SPORTS,BASKETBALL,01-Sep-03,2003,9,E,NO,No,No,Non violent
NBA LIVE 2001,1,0,0,1,NBA LIVE,NATL BASKETBALL ASSOC,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,BASKETBALL,01-Jan-01,2001,1,E,NO,No,Yes,Non violent
NBA LIVE 2002,2,0,1,1,NBA LIVE,NATL BASKETBALL ASSOC,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,BASKETBALL,01-Oct-01,2001,10,E,NO,No,Yes,Non violent
NBA LIVE 2003,3,1,1,1,NBA LIVE,NATL BASKETBALL ASSOC,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,BASKETBALL,01-Oct-02,2002,10,E,NO,No,Yes,Non violent
NBA LIVE 2004,3,1,1,1,NBA LIVE,NATL BASKETBALL ASSOC,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,BASKETBALL,01-Oct-03,2003,10,E,NO,No,Yes,Non violent
NBA LIVE 2005,3,1,1,1,NBA LIVE,NATL BASKETBALL ASSOC,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,BASKETBALL,01-Sep-04,2004,9,E,NO,No,Yes,Non violent
NBA SHOOTOUT 2001,1,0,0,1,NBA SHOOTOUT,NATL BASKETBALL ASSOC,SONY ,989 SPORTS,SPORTS,BASKETBALL,01-Feb-01,2001,2,E,NO,No,Yes,Non violent
NBA SHOOTOUT 2003,1,0,0,1,NBA SHOOTOUT,NATL BASKETBALL ASSOC,SONY ,SONY COMPUTER ENTERTAINMENT,SPORTS,BASKETBALL,01-Sep-02,2002,9,E,NO,No,Yes,Non violent
NBA SHOOTOUT 2004,1,0,0,1,NBA SHOOTOUT,NATL BASKETBALL ASSOC,SONY ,KILLER GAME,SPORTS,BASKETBALL,01-Oct-03,2003,10,E,YES,No,Yes,Non violent
NBA STARTING FIVE,2,0,1,1,,NATL BASKETBALL ASSOC,KONAMI DIGITAL ENT.,KONAMI,SPORTS,BASKETBALL,01-Oct-02,2002,10,E,NO,No,No,Non violent
NBA STREET,2,1,0,1,NBA STREET,NATL BASKETBALL ASSOC,ELECTRONIC ARTS,NUFX,SPORTS,BASKETBALL,01-Jun-01,2001,2,E,NO,No,Yes,Non violent
NBA STREET VOL 2,3,1,1,1,NBA STREET,NATL BASKETBALL ASSOC,ELECTRONIC ARTS,NUFX,SPORTS,BASKETBALL,01-Apr-03,2003,4,E,NO,No,Yes,Non violent
NCAA BASKETBALL 2K3,3,1,1,1,NCAA BASKETBALL,COLLEGE LIC PRODUCTS,SEGA OF AMERICA,KUSH GAMES,SPORTS,BASKETBALL,01-Dec-02,2002,12,E,NO,No,No,Non violent
NCAA FINAL FOUR 2001,1,0,0,1,NCAA FINAL FOUR,COLLEGE LIC PRODUCTS,SONY ,KILLER GAME,SPORTS,BASKETBALL,01-Dec-00,2000,12,E,NO,No,Yes,Non violent
NCAA FINAL FOUR 2002,1,0,0,1,NCAA FINAL FOUR,COLLEGE LIC PRODUCTS,SONY ,KILLER GAME,SPORTS,BASKETBALL,01-Jul-01,2001,7,E,NO,No,Yes,Non violent
NCAA FINAL FOUR 2003,1,0,0,1,NCAA FINAL FOUR,COLLEGE LIC PRODUCTS,SONY ,KILLER GAME,SPORTS,BASKETBALL,01-Nov-02,2002,11,E,NO,No,Yes,Non violent
NCAA FINAL FOUR 2004,1,0,0,1,NCAA FINAL FOUR,COLLEGE LIC PRODUCTS,SONY ,SONY COMPUTER ENTERTAINMENT,SPORTS,BASKETBALL,01-Nov-03,2003,11,E,YES,No,Yes,Non violent
NCAA FOOTBALL 2002,1,0,0,1,NCAA FOOTBALL,COLLEGE LIC PRODUCTS,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,FOOTBALL,01-Jul-01,2001,7,E,NO,No,Yes,Non violent
NCAA FOOTBALL 2003,3,1,1,1,NCAA FOOTBALL,COLLEGE LIC PRODUCTS,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,FOOTBALL,01-Jul-02,2002,7,E,NO,No,Yes,Non violent
NCAA FOOTBALL 2004,3,1,1,1,NCAA FOOTBALL,COLLEGE LIC PRODUCTS,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,FOOTBALL,01-Jul-03,2003,7,E,NO,No,Yes,Non violent
NCAA FOOTBALL 2005,3,1,1,1,NCAA FOOTBALL,COLLEGE LIC PRODUCTS,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,FOOTBALL,01-Jul-04,2004,7,E,NO,No,Yes,Non violent
NCAA FOOTBALL 2K3,3,1,1,1,NCAA FOOTBALL 2K,COLLEGE LIC PRODUCTS,SEGA OF AMERICA,AVALANCHE SOFTWARE,SPORTS,FOOTBALL,01-Aug-02,2002,8,E,NO,No,No,Non violent
NCAA GAMEBREAKER 2001,1,0,0,1,NCAA GAMEBREAKER,COLLEGE LIC PRODUCTS,SONY ,RED ZONE INTERACTIVE,SPORTS,FOOTBALL,01-Dec-00,2000,12,E,NO,No,Yes,Non violent
NCAA GAMEBREAKER 2003,1,0,0,1,NCAA GAMEBREAKER,COLLEGE LIC PRODUCTS,SONY ,RED ZONE INTERACTIVE,SPORTS,FOOTBALL,01-Aug-02,2002,8,E,NO,No,Yes,Non violent
NCAA GAMEBREAKER 2004,1,0,0,1,NCAA GAMEBREAKER,COLLEGE LIC PRODUCTS,SONY ,SONY COMPUTER ENTERTAINMENT,SPORTS,FOOTBALL,01-Aug-03,2003,8,E,YES,No,Yes,Non violent
NCAA MARCH MADNESS 2004,2,0,1,1,NCAA MARCH MADNESS,COLLEGE LIC PRODUCTS,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,BASKETBALL,01-Nov-03,2003,11,E,NO,No,Yes,Non violent
NCAA MARCH MADNESS 2005,2,0,1,1,NCAA MARCH MADNESS,COLLEGE LIC PRODUCTS,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,BASKETBALL,01-Nov-04,2004,11,E,YES,No,Yes,Non violent
NCAA MARCH MDNSS 2003,1,0,0,1,,COLLEGE LIC PRODUCTS,ELECTRONIC ARTS,NUFX,SPORTS,BASKETBALL,01-Nov-02,2002,11,E,NO,No,Yes,Non violent
NEED FOR SPEED: HOT PURSUIT 2,3,1,1,1,NEED FOR SPEED,,ELECTRONIC ARTS,BLACK BOX GAMES,RACING,ACTION ORIENTED RACING,01-Sep-02,2002,9,E,NO,No,Yes,Non violent
NEED FOR SPEED: UNDERGROUND,3,1,1,1,NEED FOR SPEED,OTHER,ELECTRONIC ARTS,BLACK BOX GAMES,RACING,ACTION ORIENTED RACING,01-Nov-03,2003,11,E,NO,No,Yes,Non violent
NEED FOR SPEED: UNDERGROUND 2,3,1,1,1,NEED FOR SPEED,OTHER,ELECTRONIC ARTS,ELECTRONIC ARTS,RACING,ACTION ORIENTED RACING,01-Nov-04,2004,11,E,NO,No,Yes,Non violent
NEO CONTRA,1,0,0,1,CONTRA,,KONAMI DIGITAL ENT.,KONAMI,ACTION,GENERAL ACTION,01-Oct-04,2004,10,M,NO,No,No,Violent
NEW LEGENDS,1,0,1,0,,,THQ ,INFINITE MACHINE,ACTION,GENERAL ACTION,01-Feb-02,2002,2,T,NO,No,Yes,Violent
NFL 2K2,2,0,1,1,NFL 2K,NATL FOOTBALL LEAGUE,SEGA OF AMERICA,VISUAL CONCEPTS,SPORTS,FOOTBALL,01-Nov-01,2001,1,E,NO,No,No,Non violent
NFL 2K3,3,1,1,1,NFL 2K,NATL FOOTBALL LEAGUE,SEGA OF AMERICA,VISUAL CONCEPTS,SPORTS,FOOTBALL,01-Aug-02,2002,8,E,NO,No,No,Non violent
NFL BLITZ 2002,3,1,1,1,NFL BLITZ,NATL FOOTBALL LEAGUE,MIDWAY,MIDWAY HOME ENTERTAINMENT,SPORTS,FOOTBALL,01-Feb-02,2002,2,E,NO,No,No,Non violent
NFL BLITZ 2003,3,1,1,1,NFL BLITZ,NATL FOOTBALL LEAGUE,MIDWAY,,SPORTS,FOOTBALL,01-Aug-02,2002,8,E,NO,No,No,Non violent
NFL BLITZ PRO,3,1,1,1,NFL BLITZ,NATL FOOTBALL LEAGUE,MIDWAY,MIDWAY HOME ENTERTAINMENT,SPORTS,FOOTBALL,01-Oct-03,2003,10,E,NO,No,No,Non violent
NFL FEVER 2002,1,0,1,0,NFL FEVER,NATL FOOTBALL LEAGUE,MICROSOFT ,MICROSOFT,SPORTS,FOOTBALL,01-Oct-01,2001,10,E,NO,No,No,Non violent
NFL FEVER 2003,1,0,1,0,NFL FEVER,NATL FOOTBALL LEAGUE,MICROSOFT ,MICROSOFT,SPORTS,FOOTBALL,01-Aug-02,2002,8,E,YES,No,No,Non violent
NFL FEVER 2004,1,0,1,0,NFL FEVER,NATL FOOTBALL LEAGUE,MICROSOFT ,MICROSOFT,SPORTS,FOOTBALL,01-Aug-03,2003,8,E,YES,No,No,Non violent
NFL GAMEDAY 2001,1,0,0,1,NFL GAMEDAY,NATL FOOTBALL LEAGUE,SONY ,RED ZONE INTERACTIVE,SPORTS,FOOTBALL,01-Nov-00,2000,11,E,NO,No,Yes,Non violent
NFL GAMEDAY 2002,1,0,0,1,NFL GAMEDAY,NATL FOOTBALL LEAGUE,SONY ,RED ZONE INTERACTIVE,SPORTS,FOOTBALL,01-Dec-01,2001,12,E,NO,No,Yes,Non violent
NFL GAMEDAY 2003,1,0,0,1,NFL GAMEDAY,NATL FOOTBALL LEAGUE,SONY ,RED ZONE INTERACTIVE,SPORTS,FOOTBALL,01-Aug-02,2002,8,E,YES,No,Yes,Non violent
NFL GAMEDAY 2004,1,0,0,1,NFL GAMEDAY,NATL FOOTBALL LEAGUE,SONY ,SONY COMPUTER ENTERTAINMENT,SPORTS,FOOTBALL,01-Aug-03,2003,8,E,YES,No,Yes,Non violent
NFL PRIMETIME 2002,2,0,1,1,,NATL FOOTBALL LEAGUE,KONAMI DIGITAL ENT.,FARSIGHT STUDIOS,SPORTS,FOOTBALL,01-Nov-01,2001,1,E,NO,No,No,Non violent
NFL QUARTERBACK CLUB 2002,2,1,0,1,NFL QUARTERBACK CLUB,NATL FOOTBALL LEAGUE,ACCLAIM  ,ACCLAIM STUDIOS,SPORTS,FOOTBALL,01-Sep-01,2001,9,E,NO,No,No,Non violent
NFL STREET,3,1,1,1,NFL STREETS,NATL FOOTBALL LEAGUE,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,FOOTBALL,01-Jan-04,2004,1,E,NO,No,Yes,Non violent
NFL STREET 2,3,1,1,1,NFL STREETS,NATL FOOTBALL LEAGUE,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,FOOTBALL,01-Dec-04,2004,12,E,NO,No,Yes,Non violent
NHL 2001,1,0,0,1,NHL,NATIONAL HOCKEY LEAGUE (NHL),ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,HOCKEY,01-Oct-00,2000,10,E,NO,No,Yes,Non violent
NHL 2002,2,0,1,1,NHL,NATIONAL HOCKEY LEAGUE (NHL),ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,HOCKEY,01-Sep-01,2001,9,E,NO,No,Yes,Non violent
NHL 2003,3,1,1,1,NHL,NATIONAL HOCKEY LEAGUE (NHL),ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,HOCKEY,01-Sep-02,2002,9,E,NO,No,Yes,Non violent
NHL 2004,3,1,1,1,NHL,NATIONAL HOCKEY LEAGUE (NHL),ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,HOCKEY,01-Sep-03,2003,9,E,NO,No,Yes,Non violent
NHL 2005,3,1,1,1,NHL,NATIONAL HOCKEY LEAGUE (NHL),ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,HOCKEY,01-Sep-04,2004,9,E,NO,No,Yes,Non violent
NHL 2K3,3,1,1,1,NHL 2K,NATIONAL HOCKEY LEAGUE (NHL),SEGA OF AMERICA,TREYARCH INVENTION,SPORTS,HOCKEY,01-Nov-02,2002,11,E,NO,No,No,Non violent
NHL FACE OFF 2001,1,0,0,1,NHL FACE OFF,NATIONAL HOCKEY LEAGUE (NHL),SONY ,989 SPORTS,SPORTS,HOCKEY,01-Feb-01,2001,2,E,NO,No,Yes,Non violent
NHL FACEOFF 2003,1,0,0,1,NHL FACE OFF,NATIONAL HOCKEY LEAGUE (NHL),SONY ,SOLWORKS,SPORTS,HOCKEY,01-Nov-02,2002,11,E,NO,No,Yes,Non violent
NHL HITZ 2002,3,1,1,1,NHL HITZ,NATIONAL HOCKEY LEAGUE (NHL),MIDWAY,BLACK BOX GAMES,SPORTS,HOCKEY,01-Sep-01,2001,9,E,NO,No,No,Non violent
NHL HITZ 2003,3,1,1,1,NHL HITZ,NATIONAL HOCKEY LEAGUE (NHL),MIDWAY,BLACK BOX GAMES,SPORTS,HOCKEY,01-Sep-02,2002,9,E,NO,No,No,Non violent
NHL HITZ PRO,3,1,1,1,NHL HITZ,NATIONAL HOCKEY LEAGUE (NHL),MIDWAY,MIDWAY HOME ENTERTAINMENT,SPORTS,HOCKEY,01-Sep-03,2003,9,E,NO,No,No,Non violent
NHL RIVALS 2004,1,0,1,0,,NATIONAL HOCKEY LEAGUE (NHL),MICROSOFT ,MICROSOFT,SPORTS,HOCKEY,01-Nov-03,2003,11,E,YES,No,No,Non violent
NICKELODEON PARTY BLAST,2,1,1,0,NICKELODEON,NICKELODEON,ATARI,DATA DESIGN,CHILDREN'S ,CHILDREN'S GAMES,01-Oct-02,2002,10,E,NO,No,No,Non violent
NICKTOONS MOVIN',1,0,0,1,NICKTOONS,NICKELODEON,THQ ,MASS MEDIA,CHILDREN'S ,CHILDREN'S GAMES,01-Oct-04,2004,10,E,NO,No,Yes,Non violent
NIGHTCASTER,1,0,1,0,NIGHTCASTER,,MICROSOFT ,,RPG,RPG,01-Jan-02,2002,1,T,NO,No,No,Non violent
NIGHTCASTER2 EQUINOX,1,0,1,0,NIGHTCASTER,,JALECO,JALECO ENTERTAINMENT,RPG,RPG,01-Dec-02,2002,12,T,NO,No,No,Non violent
NIGHTMARE OF DRUAGA,1,0,0,1,,,NAMCO,ARIKA,RPG,RPG,01-Oct-04,2004,10,E,NO,No,No,Non violent
NIGHTSHADE,1,0,0,1,,,SEGA OF AMERICA,OVERWORKS,ACTION,GENERAL ACTION,01-Feb-04,2004,2,M,NO,No,No,Violent
NINJA ASSAULT,2,0,0,2,,,NAMCO,NAMCO,SHOOTER,OTHER SHOOTER,01-Nov-02,2002,11,T,NO,No,No,Violent
NINJA GAIDEN,1,0,1,0,NINJA GAIDEN,,TECMO,TECMO,ACTION,GENERAL ACTION,01-Mar-04,2004,3,M,YES,No,No,Violent
NO ONE LIVES FOREVER,1,0,0,1,NO ONE LIVES FOREVER,,VIVENDI UNIVERSAL ,MONOLITH PRODUCTION,SHOOTER,1ST PERSON SHOOTER,01-Apr-02,2002,4,T,NO,Vivendi,Yes,Violent
ODDWORLD: MUNCH'S ODDYSEE,1,0,1,0,ODDWORLD,,MICROSOFT ,ODDWORLD INHABITANTS,ACTION,PLATFORM/SCROLLING CHARACTER,01-Nov-01,2001,11,T,NO,No,No,Violent
OKAGE: SHADOW KING,1,0,0,1,,,SONY ,ZENER WORKS,RPG,RPG,01-Sep-01,2001,9,T,NO,No,Yes,Non violent
ONI,1,0,0,1,,,TAKE 2 INTERACTIVE ,ROCKSTAR GAMES,ACTION,GENERAL ACTION,01-Jan-01,2001,1,T,NO,No,No,Violent
ONIMUSHA 2: SAMURAI,1,0,0,1,ONIMUSHA,,CAPCOM USA,CAPCOM,ADVENTURE,SURVIVAL HORROR,01-Aug-02,2002,8,M,NO,No,No,Non violent
ONIMUSHA 3: DEMON,1,0,0,1,ONIMUSHA,,CAPCOM USA,CAPCOM,ADVENTURE,SURVIVAL HORROR,01-Apr-04,2004,4,M,NO,No,No,Non violent
ONIMUSHA BLADE WAR,1,0,0,1,ONIMUSHA,,CAPCOM USA,CAPCOM,FIGHTING,FIGHT/HEAD TO HEAD,01-Mar-04,2004,3,T,NO,No,No,Violent
ONIMUSHA WARLORDS,1,0,0,1,ONIMUSHA,,CAPCOM USA,CAPCOM,ADVENTURE,SURVIVAL HORROR,01-Mar-01,2001,3,M,NO,No,No,Non violent
ORPHEN,1,0,0,1,,,ACTIVISION,KADOKAWA,RPG,RPG,01-Oct-00,2000,10,T,NO,No,No,Non violent
OTOGI 2: IMMORTAL,1,0,1,0,OTOGI,,SEGA OF AMERICA,FROMSOFTWARE,ACTION,GENERAL ACTION,01-Oct-04,2004,10,T,NO,No,No,Violent
OTOGI: MYTH OF DEMONS,1,0,1,0,,,SEGA OF AMERICA,FROMSOFTWARE,ACTION,GENERAL ACTION,01-Aug-03,2003,8,T,NO,No,No,Violent
OUTLAW GOLF,4,1,3,0,BUNDLE,,VIVENDI UNIVERSAL ,HYPNOTIX,OTHER GAMES,GOLF,01-Jun-02,2002,6,T,NO,Vivendi,Yes,Non violent
OUTLAW GOLF 2,2,0,1,1,OUTLAW GOLF,,TAKE 2 INTERACTIVE ,HYPNOTIX,SPORTS,GOLF,01-Oct-04,2004,10,M,YES,No,No,Non violent
OUTLAW VOLLEYBALL,1,0,1,0,,,VIVENDI UNIVERSAL ,HYPNOTIX,SPORTS,MULTIPLE/OTHER SPORTS,01-Jul-03,2003,7,M,YES,Vivendi,Yes,Non violent
OUTRUN 2,1,0,1,0,OUT RUN,,MICROSOFT ,SUMO DIGITAL,RACING,ACTION ORIENTED RACING,01-Oct-04,2004,10,E,YES,No,No,Non violent
P.N. 03,1,1,0,0,,,CAPCOM USA,CAPCOM PRODUCTION STUDIO 4,ACTION,GENERAL ACTION,01-Sep-03,2003,9,T,NO,No,No,Violent
P.T.O. IV,1,0,0,1,P.T.O.,,KOEI,KOEI,STRATEGY,OTHER STRATEGY,01-Feb-03,2003,2,E,NO,No,No,Non violent
PAC-MAN FEVER,2,1,0,1,PACMAN,,NAMCO,MASS MEDIA,FAMILY ,PARTY GAMES,01-Sep-02,2002,9,E,NO,No,No,Non violent
PAC-MAN PLAYER'S BND,1,1,0,0,PACMAN,,NAMCO,NAMCO,ACTION,PLATFORM/SCROLLING CHARACTER,01-Dec-03,2003,12,E,NO,No,No,Violent
PAC-MAN WORLD 2,3,1,1,1,PACMAN,,NAMCO,NAMCO,ACTION,PLATFORM/SCROLLING CHARACTER,01-Feb-02,2002,2,E,NO,No,No,Violent
PANZER DRAGOON ORTA,1,0,1,0,PANZER DRAGOON,,SEGA OF AMERICA,SMILEBIT,ACTION,GENERAL ACTION,01-Jan-03,2003,1,T,NO,No,No,Violent
PAPER MARIO: THOUSAND,1,1,0,0,MARIO BROTHERS,SUPER MARIO BROTHERS,NINTENDO OF AMERICA,INTELLIGENT SYSTEMS,RPG,RPG,01-Oct-04,2004,10,E,NO,No,No,Non violent
PARAPPA THE RAPPER 2,1,0,0,1,PARAPPA THE RAPPER,,SONY ,NANAON-SHA,FAMILY ,MUSIC/DANCE GAMES,01-Jan-02,2002,1,E,NO,No,Yes,Non violent
PARIS DAKAR RALLY,1,0,0,1,,,ACCLAIM  ,BROADSWORD INTERACTIVE,RACING,ACTION ORIENTED RACING,01-Sep-01,2001,9,E,NO,No,No,Non violent
PHANTASY STAR I & II,2,1,1,0,PHANTASY STAR,,MICROSOFT ,SONIC TEAM,RPG,RPG,01-Oct-02,2002,4,T,YES,No,No,Non violent
PHANTASY STAR PLUS,1,1,0,0,PHANTASY STAR,,SEGA OF AMERICA,SONIC TEAM,RPG,RPG,01-Sep-04,2004,9,T,YES,No,No,Non violent
PHANTASY STAR: CARD,1,1,0,0,PHANTASY STAR,,SEGA OF AMERICA,SONIC TEAM,FAMILY ,CARD GAMES,01-Mar-04,2004,3,T,YES,No,No,Non violent
PHANTOM BRAVE,2,0,0,2,,,ATLUS,NIPPON ICHI SOFTWARE,RPG,RPG,01-Sep-04,2004,9,T,NO,No,No,Non violent
PHANTOM CRASH,1,0,1,0,,,ENCORE,GENKI,SHOOTER,MECHANIZED SHOOTER,01-Nov-02,2002,11,T,NO,No,No,Violent
PIGLET'S BIG GAME,2,1,0,1,,WINNIE THE POOH,TAKE 2 INTERACTIVE ,DOKI DENKI,CHILDREN'S ,CHILDREN'S GAMES,01-Mar-03,2003,3,E,NO,No,No,Non violent
PIKMIN,1,1,0,0,PIKMIN,,NINTENDO OF AMERICA,NINTENDO COMPANY,STRATEGY,REAL-TIME STRATEGY,01-Dec-01,2001,12,E,NO,No,No,Non violent
PIKMIN 2,1,1,0,0,PIKMIN,,NINTENDO OF AMERICA,NINTENDO COMPANY,STRATEGY,REAL-TIME STRATEGY,01-Sep-04,2004,9,E,NO,No,No,Non violent
PINBALL HALL OF FAME,2,0,1,1,,,CRAVE ,FARSIGHT STUDIOS,ARCADE,PINBALL,01-Nov-04,2004,11,E,NO,No,No,Non violent
PIRATES OF THE CARIBBEAN,1,0,1,0,,OTHER,BETHESDA SOFTWORKS,AKELLA,RPG,RPG,01-Jun-03,2003,6,T,NO,No,No,Non violent
PIRATES: BLACK KAT,2,0,1,1,,,ELECTRONIC ARTS,ELECTRONIC ARTS,ADVENTURE,GENERAL ADVENTURE,01-Feb-02,2002,2,T,NO,No,Yes,Non violent
PITFALL THE LOST EXPEDITION,3,1,1,1,PITFALL,,ACTIVISION,EDGE OF REALITY,ADVENTURE,GENERAL ADVENTURE,01-Feb-04,2004,2,E,NO,No,No,Non violent
PK: OUT OF THE SHADOWS,2,1,0,1,,MICKEY & FRIENDS,UBISOFT,UBISOFT ENTERTAINMENT,ACTION,PLATFORM/SCROLLING CHARACTER,01-Oct-02,2002,10,E,NO,No,Yes,Violent
